Task Name,Description,Status,Start Date,End Date,Assigned To,Notes
Resource Group Creation,Creation of Resource Group using Terraform.,Completed,01-06-2024,05-06-2024,Team A,Resource groups for multiple environments created.
VNet Creation,Creation of Virtual Networks (VNets) using Terraform.,Completed,06-06-2024,10-06-2024,Team A,VNets created for different environments with appropriate IP ranges.
Subnet Creation,Creation of Subnets within VNets using Terraform.,Completed,11-06-2024,13-06-2024,Team A,Subnets aligned with security and application requirements.
NSG Creation,Creation of Network Security Groups using Terraform.,Completed,14-06-2024,15-06-2024,Team A,NSGs configured with required security rules.
Bastion Host Setup,Deployment of Bastion Host for secure VM access.,Completed,16-06-2024,18-06-2024,Team B,Bastion host set up for secure remote access.
VM Creation (Linux & Windows),Deployment of Linux and Windows VMs using Terraform.,Completed,19-06-2024,22-06-2024,Team B,VMs provisioned as per project requirements.
Azure Load Balancers,Setup of internal and external load balancers.,Completed,23-06-2024,25-06-2024,Team C,Load balancers configured with required rules and probes.
Application Gateway Setup,Deployment of internal and external application gateways.,Completed,26-06-2024,28-06-2024,Team C,Application gateways configured with WAF and routing rules.
SQL Managed Instances,Setup of SQL managed instances using Terraform.,Completed,29-06-2024,02-07-2024,Team D,Instances configured for high availability.
Web Application Firewall (WAF),Setup of WAF to protect applications.,Completed,03-07-2024,05-07-2024,Team C,WAF configured with necessary rules and policies.
NIC Creation,Network Interface Cards setup for VMs.,Completed,06-07-2024,07-07-2024,Team B,NICs assigned to respective VMs.
FortiGate Firewalls,Deployment of FortiGate firewalls using Terraform.,Completed,08-07-2024,10-07-2024,Team E,Firewalls configured for network security.
VNet Peering,Setup VNet peering between VNets.,Completed,11-07-2024,12-07-2024,Team A,Peering established for cross-VNet communication.
DNS Records Creation,Creation of DNS records using Terraform.,Completed,13-07-2024,15-07-2024,Team D,Multiple DNS records created as per requirements.
Scripting for Multiple DNS Record Creation,Automation script for creating multiple DNS records.,Completed,16-07-2024,17-07-2024,Team D,Script automated the process of DNS record creation.
Firewall Policy Automation,Automation script for fetching firewall policy details and reporting.,In Progress,18-07-2024,,Team E,Ongoing development and testing.
Backup FW via Ansible Bug Fix,Resolution of bugs in Ansible scripts for firewall backup.,Completed,19-07-2024,20-07-2024,Team E,Bug resolved and scripts tested successfully.
Monthly Backup Script,Development of a script for monthly backups.,Completed,21-07-2024,22-07-2024,Team E,Script implemented and scheduled for monthly execution.
Automatic Backup Deletion,Script for automatic deletion of backups older than 35 days.,Completed,23-07-2024,24-07-2024,Team E,Script tested and deployed.
CI/CD Pipeline Creation,Creation of multiple CI/CD pipelines for various projects.,In Progress,25-07-2024,,Team F,Pipelines being set up and tested.
Azure Site Recovery,Setup of Azure Site Recovery for disaster recovery.,In Progress,26-07-2024,,Team G,Ongoing setup and testing.
